id,followers,genres,name,popularity
0n4a5imdLBN24fIrBWoqrv,328492.0,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",Because,59
3r0NbTTxtCBUyxcIR4prXr,66016.0,"['pinoy hip hop', 'tagalog rap']",Jr Crown,59
7Dj3q9bzahE5mk4s09Qo4G,1564.0,['hamburg electronic'],DBN,28
6QCXrBWPyx7OVHg26tTYlw,2539.0,[],DJ MP4,44
2rwHPBK5IvPCDr0QjKlgQc,10397.0,"['funk das antigas', 'funk melody']",Cidinho & Doca,42
0KJ4ltxkqHzASzmyJG9NqA,50.0,[],David Kelly,17
2ON3fLFbL1rHfHEjeYNKsO,37803.0,"['canadian pop', 'lilith', 'pop rock']",Amanda Marshall,42
1EUlfEwD8NiTqe3dhnDUBO,30.0,['chalga'],G.M.,39
4yB4b721iVXM7kKVE85gKB,89.0,[],Nasim Begum,0
0iBTVnJ1Sff92zCDujfvyJ,11346.0,"['polish hip hop', 'polish pop']",Young Leosia,61
7mC8Nb2rN3hM0v0bpxaMzL,205796.0,['polish hip hop'],Kartky,60
2U9Hu81DJDBAMfjVV2VhQ7,5.0,[],Dívčí sbor,2
0ODPfJ6SWCiTKRl2Wf0Lh3,43.0,[],Willy Mattes,23
662bj9rCw8Twt6JDAMmMDb,40172.0,"['electroclash', 'german indie']",Stereo Total,45
3tPUjzychwThvfKUGhlQL2,33154.0,[],Patrick Miller,50
3Q1GZN8Q2eH1o9e7umyjL2,1301.0,[],Laniia,56
5hC5nTrudX1Epazg9rusD9,299.0,[],Boris,12
6OZuwa0EYjsyP2wSAKIu3P,5720.0,['bubblegum dance'],Blue Lagoon,42
32ejcIBfk6cbs473H0LlBE,14757.0,"['dakke dak', 'danish electronic']",Rune RK,48
7s6PEbZYrYNJP1cxM3Z3g4,114.0,[],Jo Shine,37
5Fd7uQWqAWTmcOidyOUhDo,3886.0,['indie cafe pop'],K E M A L,53
5yzaLCuZUhoCLIFkmBPKu0,933.0,[],Johnny Hernandez,19
3l6m1BI5LiW1rgo1S5KS7g,0.0,[],Lasse,3
3caJ5Uy9aHZv7wVSNqwwjc,45116.0,"['glam metal', 'hard rock', 'melodic hard rock', 'modern hard rock', 'sleaze rock']",Hardline,43
5zj5qQnr64lVvLtMrOBbRF,1628.0,['bubblegum dance'],Princessa,31
7I0w61rZB2mLGLRvqrlr0W,2583.0,"['eurodance', 'hip house']",Melodie MC,35
47v4vGA1qCl7hyevSkpRM7,13381.0,"['big room', 'electro house', 'progressive electro house', 'sky room']",Futuristic Polar Bears,53
0tdKRrbItnLj40yUFi23jx,176020.0,"['polish alternative', 'polish indie', 'polish pop']",Daria Zawiałow,63
