id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6UvBPDdHl4Kg0Hysyp7LHs,Miłość Jest Jak Opium - 2011 Remaster,15,250947,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1984,0.61,0.911,5,-8.358,1,0.165,0.0147,0.678,0.154,0.811,168.176,4
7zaCrQpxcSgQRZV7Ic03gQ,Zdrada - 2011 Remaster,14,194173,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1984,0.564,0.901,5,-6.339,0,0.163,0.13,0.0,0.168,0.584,126.836,4
7G21QxMD6jo6TfgDWhXuJc,Podwórkowa kalkomania,15,322707,0,['Urszula & Budka Suflera'],['24R7JNBA1qUW4U3MjtutfY'],1984-01-01,0.64,0.699,9,-9.046,0,0.0279,0.00777,0.0227,0.347,0.429,134.09,4
13w2g4rwHFAFF7xnM1yhk1,Szał sezonowej mody,15,311373,0,['Urszula & Budka Suflera'],['24R7JNBA1qUW4U3MjtutfY'],1984-01-01,0.514,0.592,2,-11.764,1,0.0386,0.00829,0.248,0.0892,0.29,186.863,4
7MvYp3MuGPJ6qJBShuVNFy,Polskie ulice - 2011 Remaster,13,235493,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1984,0.556,0.587,6,-10.499,0,0.0336,0.00054,0.871,0.264,0.578,112.563,4
33fvLuFcgDsompGfhUxigO,Assassing - Alternate Mix; 1998 Remaster,24,460640,0,"['Marillion', 'Chris Hedge']","['7ai5TWiOG8g9Hds5AATS28', '5NSR3dOrn53jRwXNNFEzaf']",1984,0.503,0.578,9,-10.85,1,0.0344,0.000566,0.00358,0.136,0.28,127.163,4
2t7peFAjThrEoPigRbEXt6,French Is Strange - 2011 Remaster,12,184933,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1984,0.585,0.92,4,-6.187,0,0.125,0.018,0.00383,0.335,0.936,162.123,4
5hdF3leT2YJhEVCyrkRHEz,Puit d'amour,25,102707,0,['Bronski Beat'],['2wpWOzQE5TpA0dVnh5YD08'],1984-10-15,0.214,0.0298,11,-23.759,0,0.0638,0.99,6.6e-06,0.0934,0.331,174.768,3
6ypOlANeLGXJfjG31c0NYW,Three Boats Down From the Candy - 1998 Remaster,22,240693,0,['Marillion'],['7ai5TWiOG8g9Hds5AATS28'],1984,0.222,0.34,5,-12.043,1,0.0451,0.00278,0.00517,0.467,0.183,83.042,3
7ifURWDaabJbhvxaLdGcMm,Lies - 2019 Remaster,25,212775,0,['Alphaville'],['0xliTEbFfy5HQHvsTknTkX'],1984,0.63,0.782,0,-7.822,1,0.04,0.0749,0.0,0.628,0.735,158.63,4
